epoch,step,train_loss_epoch,train_loss_step
0,9,,1.0244548320770264e-07
0,19,,5.587935447692871e-09
0,29,,0.131591796875
0,39,,0.6855142116546631
0,49,,0.21699605882167816
0,59,,0.006111405789852142
0,69,,0.0028328318148851395
0,79,,0.0038824528455734253
0,89,,0.0015990408137440681
0,99,,0.0011055609211325645
0,109,,0.000767020508646965
0,119,,0.0009965049102902412
0,129,,0.00033288169652223587
0,139,,0.00033012963831424713
0,140,0.04834507033228874,
1,149,,0.0002807844430208206
1,159,,0.00020933989435434341
1,169,,0.0003711692988872528
1,179,,0.00016668904572725296
1,189,,0.00020869355648756027
1,199,,0.00012071337550878525
1,209,,9.53376293182373e-05
1,219,,8.25338065624237e-05
1,229,,9.401608258485794e-05
1,239,,7.160753011703491e-05
1,249,,7.451418787240982e-05
1,259,,4.6895816922187805e-05
1,269,,5.640089511871338e-05
1,279,,5.3102150559425354e-05
1,281,0.0001515807380201295,
2,289,,4.369951784610748e-05
2,299,,3.349035978317261e-05
2,309,,4.5812688767910004e-05
2,319,,7.935706526041031e-05
2,329,,4.034489393234253e-05
2,339,,4.720780998468399e-05
2,349,,2.8461217880249023e-05
2,359,,2.831779420375824e-05
2,369,,4.43803146481514e-05
2,379,,2.0784325897693634e-05
2,389,,1.5535391867160797e-05
2,399,,2.222880721092224e-05
2,409,,1.9793398678302765e-05
2,419,,2.056267112493515e-05
2,422,3.4126420359825715e-05,
3,429,,1.7627142369747162e-05
3,439,,3.447290509939194e-05
3,449,,2.337619662284851e-05
3,459,,1.2177973985671997e-05
3,469,,1.230929046869278e-05
3,479,,1.1145137250423431e-05
3,489,,1.6765668988227844e-05
3,499,,1.2042000889778137e-05
3,509,,1.0055489838123322e-05
3,519,,9.910203516483307e-06
3,529,,8.910894393920898e-06
3,539,,6.40377402305603e-06
3,549,,1.134537160396576e-05
3,559,,6.115064024925232e-06
3,563,1.4066947187529877e-05,
4,569,,6.695277988910675e-06
4,579,,7.513910531997681e-06
4,589,,8.25151801109314e-06
4,599,,1.040380448102951e-05
4,609,,6.5872445702552795e-06
4,619,,7.502734661102295e-06
4,629,,6.203539669513702e-06
4,639,,5.461275577545166e-06
4,649,,5.628913640975952e-06
4,659,,5.914829671382904e-06
4,669,,5.3532421588897705e-06
4,679,,5.932524800300598e-06
4,689,,5.145557224750519e-06
4,699,,6.105750799179077e-06
4,704,7.775255653541535e-06,
5,709,,4.966743290424347e-06
5,719,,9.18656587600708e-06
5,729,,1.0794028639793396e-05
5,739,,6.192363798618317e-06
5,749,,6.300397217273712e-06
5,759,,6.485730409622192e-06
5,769,,5.475245416164398e-06
5,779,,3.0081719160079956e-06
5,789,,3.0426308512687683e-06
5,799,,3.7802383303642273e-06
5,809,,3.2186508178710938e-06
5,819,,3.191642463207245e-06
5,829,,3.016553819179535e-06
5,839,,2.950429916381836e-06
5,845,4.411179816088406e-06,
6,849,,3.2335519790649414e-06
6,859,,2.6831403374671936e-06
6,869,,3.0472874641418457e-06
6,879,,2.3068860173225403e-06
6,889,,3.2456591725349426e-06
6,899,,1.7061829566955566e-06
6,909,,2.2724270820617676e-06
6,919,,2.236105501651764e-06
6,929,,3.160908818244934e-06
6,939,,2.280808985233307e-06
6,949,,2.1941959857940674e-06
6,959,,2.3851171135902405e-06
6,969,,2.280808985233307e-06
6,979,,2.0908191800117493e-06
6,986,2.554538468757528e-06,
7,989,,3.4729018807411194e-06
7,999,,2.0693987607955933e-06
7,1009,,1.8849968910217285e-06
7,1019,,1.971609890460968e-06
7,1029,,1.8058344721794128e-06
7,1039,,1.6968697309494019e-06
7,1049,,1.55717134475708e-06
7,1059,,1.7397105693817139e-06
7,1069,,1.6624107956886292e-06
7,1079,,2.100132405757904e-06
7,1089,,1.7266720533370972e-06
7,1099,,2.18953937292099e-06
7,1109,,1.734122633934021e-06
7,1119,,1.276843249797821e-06
7,1127,1.8143221041100333e-06,
8,1129,,1.8365681171417236e-06
8,1139,,1.4593824744224548e-06
8,1149,,1.5050172805786133e-06
8,1159,,1.6475096344947815e-06
8,1169,,1.5310943126678467e-06
8,1179,,1.3709068298339844e-06
8,1189,,1.5720725059509277e-06
8,1199,,1.8086284399032593e-06
8,1209,,1.0421499609947205e-06
8,1219,,1.232139766216278e-06
8,1229,,1.5553086996078491e-06
8,1239,,1.1846423149108887e-06
8,1249,,1.1138617992401123e-06
8,1259,,1.3504177331924438e-06
8,1268,1.4016536624694709e-06,
9,1269,,1.3727694749832153e-06
9,1279,,1.4873221516609192e-06
9,1289,,1.0887160897254944e-06
9,1299,,1.3960525393486023e-06
9,1309,,1.5636906027793884e-06
9,1319,,1.5581026673316956e-06
9,1329,,1.3308599591255188e-06
9,1339,,1.0104849934577942e-06
9,1349,,1.084059476852417e-06
9,1359,,1.5702098608016968e-06
9,1369,,1.2386590242385864e-06
9,1379,,1.0402873158454895e-06
9,1389,,9.173527359962463e-07
9,1399,,1.1585652828216553e-06
9,1409,,1.0933727025985718e-06
9,1409,1.151695983026002e-06,
10,1419,,1.0672956705093384e-06
10,1429,,1.0728836059570312e-06
10,1439,,9.052455425262451e-07
10,1449,,8.409842848777771e-07
10,1459,,7.57165253162384e-07
10,1469,,9.071081876754761e-07
10,1479,,1.043081283569336e-06
10,1489,,1.1576339602470398e-06
10,1499,,8.726492524147034e-07
10,1509,,9.471550583839417e-07
10,1519,,9.55536961555481e-07
10,1529,,8.745118975639343e-07
10,1539,,1.0076910257339478e-06
10,1549,,8.568167686462402e-07
10,1550,9.814489203563426e-07,
11,1559,,7.981434464454651e-07
11,1569,,7.487833499908447e-07
11,1579,,8.633360266685486e-07
11,1589,,8.800998330116272e-07
11,1599,,1.0551884770393372e-06
11,1609,,7.553026080131531e-07
11,1619,,6.332993507385254e-07
11,1629,,7.16187059879303e-07
11,1639,,7.925555109977722e-07
11,1649,,7.618218660354614e-07
11,1659,,9.210780262947083e-07
11,1669,,9.30391252040863e-07
11,1679,,1.0952353477478027e-06
11,1689,,8.335337042808533e-07
11,1691,8.529329420525755e-07,
12,1699,,7.748603820800781e-07
12,1709,,7.171183824539185e-07
12,1719,,6.109476089477539e-07
12,1729,,8.381903171539307e-07
12,1739,,7.422640919685364e-07
12,1749,,6.258487701416016e-07
12,1759,,7.320195436477661e-07
12,1769,,9.061768651008606e-07
12,1779,,8.177012205123901e-07
12,1789,,6.109476089477539e-07
12,1799,,7.702037692070007e-07
12,1809,,7.450580596923828e-07
12,1819,,9.266659617424011e-07
12,1829,,6.994232535362244e-07
12,1832,7.390672180918045e-07,
13,1839,,6.463378667831421e-07
13,1849,,6.826594471931458e-07
13,1859,,9.443610906600952e-07
13,1869,,7.16187059879303e-07
13,1879,,8.624047040939331e-07
13,1889,,6.770715117454529e-07
13,1899,,7.82310962677002e-07
13,1909,,7.729977369308472e-07
13,1919,,6.789341568946838e-07
13,1929,,8.046627044677734e-07
13,1939,,6.379559636116028e-07
13,1949,,5.522742867469788e-07
13,1959,,5.494803190231323e-07
13,1969,,4.600733518600464e-07
13,1973,6.389863642652927e-07,
14,1979,,5.150213837623596e-07
14,1989,,6.938353180885315e-07
14,1999,,8.111819624900818e-07
14,2009,,5.671754479408264e-07
14,2019,,6.05359673500061e-07
14,2029,,5.867332220077515e-07
14,2039,,6.146728992462158e-07
14,2049,,5.438923835754395e-07
14,2059,,5.178153514862061e-07
14,2069,,4.954636096954346e-07
14,2079,,6.016343832015991e-07
14,2089,,5.923211574554443e-07
14,2099,,5.150213837623596e-07
14,2109,,6.835907697677612e-07
14,2114,5.607751063507749e-07,
15,2119,,5.438923835754395e-07
15,2129,,3.986060619354248e-07
15,2139,,6.565824151039124e-07
15,2149,,5.476176738739014e-07
15,2159,,6.435438990592957e-07
15,2169,,4.637986421585083e-07
15,2179,,5.783513188362122e-07
15,2189,,4.824250936508179e-07
15,2199,,7.171183824539185e-07
15,2209,,5.159527063369751e-07
15,2219,,4.721805453300476e-07
15,2229,,3.8836151361465454e-07
15,2239,,4.7404319047927856e-07
15,2249,,4.5355409383773804e-07
15,2255,4.978084007234429e-07,
16,2259,,4.023313522338867e-07
16,2269,,5.336478352546692e-07
16,2279,,4.237517714500427e-07
16,2289,,5.895271897315979e-07
16,2299,,4.3213367462158203e-07
16,2309,,4.414469003677368e-07
16,2319,,5.364418029785156e-07
16,2329,,4.6193599700927734e-07
16,2339,,4.1909515857696533e-07
16,2349,,5.85801899433136e-07
16,2359,,4.721805453300476e-07
16,2369,,4.684552550315857e-07
16,2379,,4.330649971961975e-07
16,2389,,3.864988684654236e-07
16,2396,4.4461074821811053e-07,
17,2399,,4.0140002965927124e-07
17,2409,,4.153698682785034e-07
17,2419,,4.880130290985107e-07
17,2429,,5.941838026046753e-07
17,2439,,4.591420292854309e-07
17,2449,,4.4424086809158325e-07
17,2459,,4.377216100692749e-07
17,2469,,3.287568688392639e-07
17,2479,,3.129243850708008e-07
17,2489,,4.079192876815796e-07
17,2499,,3.7159770727157593e-07
17,2509,,3.287568688392639e-07
17,2519,,4.237517714500427e-07
17,2529,,3.334134817123413e-07
17,2537,4.019482560124743e-07,
18,2539,,3.91155481338501e-07
18,2549,,3.7532299757003784e-07
18,2559,,4.4889748096466064e-07
18,2569,,3.650784492492676e-07
18,2579,,3.287568688392639e-07
18,2589,,3.1851232051849365e-07
18,2599,,3.734603524208069e-07
18,2609,,3.976747393608093e-07
18,2619,,4.153698682785034e-07
18,2629,,3.8929283618927e-07
18,2639,,3.7159770727157593e-07
18,2649,,4.12575900554657e-07
18,2659,,3.1385570764541626e-07
18,2669,,3.0640512704849243e-07
18,2678,3.658248317606194e-07,
19,2679,,3.604218363761902e-07
19,2689,,3.390014171600342e-07
19,2699,,3.380700945854187e-07
19,2709,,4.4330954551696777e-07
19,2719,,3.641471266746521e-07
19,2729,,2.7939677238464355e-07
19,2739,,3.343448042869568e-07
19,2749,,3.213062882423401e-07
19,2759,,3.166496753692627e-07
19,2769,,3.119930624961853e-07
19,2779,,3.8743019104003906e-07
19,2789,,3.5762786865234375e-07
19,2799,,3.343448042869568e-07
19,2809,,3.129243850708008e-07
19,2819,,3.03611159324646e-07
19,2819,3.353289628194034e-07,
